ID,Título,Precio,Moneda,Estado,Stock,Vendidos,Link
"MLU476452375","Ramo De Flores Secas","850","UYU","under_review","2","1","https://articulo.mercadolibre.com.uy/MLU-476452375-ramo-de-flores-secas-_JM"
"MLU476257243","Ramo De Flores Secas (statice) Colores Naturales","680","UYU","paused","0","4","https://articulo.mercadolibre.com.uy/MLU-476257243-ramo-de-flores-secas-statice-colores-naturales-_JM"
"MLU476602474","Ramo De Flores Secas Y Espigas","550","UYU","paused","1","4","https://articulo.mercadolibre.com.uy/MLU-476602474-ramo-de-flores-secas-y-espigas-_JM"
"MLU476823557","Flores Secas","470","UYU","paused","0","6","https://articulo.mercadolibre.com.uy/MLU-476823557-flores-secas-_JM"
"MLU476452103","Espigas De Trigo ","520","UYU","paused","2","7","https://articulo.mercadolibre.com.uy/MLU-476452103-espigas-de-trigo-_JM"
"MLU477660817","Flores Secas Mini Ideales Para Manualidades","440","UYU","active","1","27","https://articulo.mercadolibre.com.uy/MLU-477660817-flores-secas-mini-ideales-para-manualidades-_JM"
"MLU477660493","Flores Secas Para Decoracion Manualidades","400","UYU","paused","1","4","https://articulo.mercadolibre.com.uy/MLU-477660493-flores-secas-para-decoracion-manualidades-_JM"
"MLU477663470","Arreglo Floral . Centro De Mesa . Flores Secas","850","UYU","paused","1","4","https://articulo.mercadolibre.com.uy/MLU-477663470-arreglo-floral-centro-de-mesa-flores-secas-_JM"
"MLU477843949","Arreglo Flores Secas Y Espigas ","920","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-477843949-arreglo-flores-secas-y-espigas-_JM"
"MLU477843862","Flores Secas Para Arreglos","400","UYU","paused","0","7","https://articulo.mercadolibre.com.uy/MLU-477843862-flores-secas-para-arreglos-_JM"
"MLU477843805","Flores Secas . Siemprevivas . 50 Unidades","590","UYU","paused","2","1","https://articulo.mercadolibre.com.uy/MLU-477843805-flores-secas-siemprevivas-50-unidades-_JM"
"MLU477842760","Espigas De Moha . 100 Unidades","400","UYU","paused","1","7","https://articulo.mercadolibre.com.uy/MLU-477842760-espigas-de-moha-100-unidades-_JM"
